                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  4.167,                  7.081,                 4.0644,                0.00135,                0.07416,                0.00084,                0.00026,                 3.6101,                   4.64,                 3.6589,              0.0033284,              0.0033284,              0.0033284
                      2,                  3.313,                 5.2032,                 3.0805,                0.36175,                 0.0841,                0.01228,                0.00414,                 2.8277,                  3.718,                 2.6293,              0.0066486,              0.0066486,              0.0066486
                      3,                 2.7931,                 4.1348,                 2.3818,                 0.3748,                0.05721,                0.01564,                0.00501,                 2.5828,                 3.7437,                 2.3591,              0.0099555,              0.0099555,              0.0099555
                      4,                 2.5499,                 3.6307,                 2.0989,                0.41347,                0.05396,                0.02931,                0.01126,                 2.3449,                 3.4052,                 2.1011,              0.0099406,              0.0099406,              0.0099406
                      5,                  2.389,                 3.3828,                 1.9644,                0.26873,                0.11575,                 0.0442,                0.01803,                 2.2758,                 3.1592,                 1.9139,              0.0099406,              0.0099406,              0.0099406
                      6,                 2.2713,                 3.2074,                 1.8864,                0.08827,                0.09762,                0.04993,                0.02322,                 2.1747,                 3.1569,                 1.8713,              0.0099208,              0.0099208,              0.0099208
                      7,                 2.2035,                 3.0799,                 1.8081,                0.15939,                0.15436,                0.07646,                0.03366,                 2.1527,                  2.982,                 1.8032,               0.009901,               0.009901,               0.009901
                      8,                 2.1487,                 2.9592,                 1.7693,                 0.1931,                0.14649,                0.08685,                0.03854,                 2.0265,                  2.926,                   1.71,              0.0098812,              0.0098812,              0.0098812
                      9,                 2.1136,                 2.9021,                  1.741,                 0.1702,                 0.1638,                0.09822,                0.04513,                 1.9787,                 2.7994,                 1.6839,              0.0098614,              0.0098614,              0.0098614
                     10,                 2.0783,                 2.8162,                 1.7007,                0.18045,                0.18069,                0.09927,                0.04518,                 1.9798,                 2.7161,                 1.6678,              0.0098416,              0.0098416,              0.0098416
                     11,                 2.0401,                 2.7501,                 1.6771,                0.22367,                 0.1683,                0.11491,                0.05107,                 1.9818,                 2.6856,                 1.6866,              0.0098218,              0.0098218,              0.0098218
                     12,                 1.9937,                 2.6904,                 1.6397,                0.21209,                0.20933,                0.12735,                0.06037,                 1.8953,                  2.573,                 1.6105,               0.009802,               0.009802,               0.009802
                     13,                 1.9757,                 2.6259,                 1.6286,                0.21581,                 0.2055,                 0.1343,                0.06884,                 1.9012,                 2.5497,                 1.6136,              0.0097822,              0.0097822,              0.0097822
                     14,                 1.9292,                 2.5662,                 1.6002,                0.22446,                0.22434,                0.14845,                0.07097,                 1.8863,                 2.5689,                  1.595,              0.0097624,              0.0097624,              0.0097624
                     15,                 1.9219,                 2.5358,                  1.596,                0.24768,                0.22499,                0.15298,                0.07726,                 1.8607,                 2.4915,                 1.5623,              0.0097426,              0.0097426,              0.0097426
                     16,                 1.8912,                 2.4997,                 1.5751,                0.27329,                0.23895,                0.16917,                0.08794,                 1.8484,                  2.419,                 1.5788,              0.0097228,              0.0097228,              0.0097228
                     17,                 1.8822,                   2.46,                 1.5561,                0.24278,                0.24054,                0.17185,                0.08851,                  1.782,                 2.3533,                 1.5439,               0.009703,               0.009703,               0.009703
                     18,                 1.8564,                 2.4409,                 1.5558,                0.24906,                0.24832,                0.18463,                0.09717,                 1.8268,                 2.3356,                 1.5719,              0.0096832,              0.0096832,              0.0096832
                     19,                 1.8419,                 2.3999,                 1.5339,                0.30895,                0.24302,                0.19815,                0.10148,                 1.8113,                 2.3276,                  1.542,              0.0096634,              0.0096634,              0.0096634
                     20,                 1.8326,                 2.3543,                 1.5248,                0.30644,                0.25214,                0.20249,                0.10357,                 1.7517,                  2.316,                 1.4989,              0.0096436,              0.0096436,              0.0096436
                     21,                 1.8052,                 2.3356,                 1.5009,                0.27268,                0.26982,                0.20396,                0.10975,                 1.7546,                 2.2942,                 1.5131,              0.0096238,              0.0096238,              0.0096238
                     22,                 1.7957,                 2.3091,                 1.4935,                 0.3324,                0.26629,                0.23091,                0.12456,                 1.6805,                 2.2068,                 1.4612,               0.009604,               0.009604,               0.009604
                     23,                 1.7769,                 2.2767,                  1.482,                0.30228,                0.30577,                 0.2367,                0.13006,                 1.7496,                 2.1472,                 1.5147,              0.0095842,              0.0095842,              0.0095842
                     24,                 1.7694,                 2.2411,                 1.4799,                0.30395,                0.28841,                0.23252,                0.12329,                 1.7162,                 2.2425,                 1.4645,              0.0095644,              0.0095644,              0.0095644
                     25,                 1.7733,                 2.2458,                 1.4668,                0.33548,                0.29049,                0.24108,                0.13025,                 1.6889,                 2.1163,                 1.4599,              0.0095446,              0.0095446,              0.0095446
                     26,                 1.7518,                 2.2135,                 1.4639,                0.33688,                0.31359,                0.25852,                0.13767,                 1.6699,                 2.1135,                 1.4322,              0.0095248,              0.0095248,              0.0095248
                     27,                 1.7399,                 2.1947,                 1.4646,                 0.3285,                  0.315,                0.25474,                0.14427,                 1.6792,                  2.103,                 1.4347,               0.009505,               0.009505,               0.009505
                     28,                 1.7273,                 2.1666,                 1.4456,                0.32744,                0.29786,                0.26863,                0.14742,                 1.6917,                 2.1028,                 1.4482,              0.0094852,              0.0094852,              0.0094852
                     29,                  1.712,                 2.1241,                 1.4393,                  0.355,                0.32925,                0.26917,                0.14492,                 1.7122,                 2.0711,                 1.4618,              0.0094654,              0.0094654,              0.0094654
                     30,                 1.7142,                 2.1238,                 1.4338,                0.35769,                0.32773,                0.27993,                0.15828,                 1.6402,                 2.0347,                 1.4169,              0.0094456,              0.0094456,              0.0094456
                     31,                 1.7034,                 2.0941,                 1.4271,                0.36832,                0.32661,                0.28518,                0.16063,                 1.6326,                 2.0301,                 1.4106,              0.0094258,              0.0094258,              0.0094258
                     32,                 1.6934,                 2.0889,                 1.4186,                0.37039,                 0.3442,                0.29762,                0.16818,                 1.6398,                  2.011,                 1.4221,               0.009406,               0.009406,               0.009406
                     33,                  1.678,                 2.0796,                 1.4175,                0.35022,                0.36395,                0.29613,                0.17041,                 1.6098,                 1.9794,                 1.4004,              0.0093862,              0.0093862,              0.0093862
                     34,                 1.6726,                 2.0551,                 1.4067,                0.41229,                0.32187,                0.29886,                0.16686,                 1.6178,                 2.0019,                 1.3978,              0.0093664,              0.0093664,              0.0093664
                     35,                 1.6655,                 2.0385,                 1.3994,                0.35319,                 0.3478,                0.28761,                0.16211,                 1.6083,                  1.984,                 1.3834,              0.0093466,              0.0093466,              0.0093466
                     36,                 1.6592,                 2.0221,                 1.3895,                 0.3801,                0.34401,                0.30717,                0.17571,                 1.6021,                 1.9596,                 1.3946,              0.0093268,              0.0093268,              0.0093268
                     37,                 1.6369,                 2.0064,                 1.3936,                0.39107,                0.34618,                0.30292,                0.16913,                 1.6021,                 1.9981,                  1.385,               0.009307,               0.009307,               0.009307
                     38,                 1.6443,                 1.9853,                 1.3848,                0.39443,                0.36093,                0.31559,                0.17762,                 1.5891,                 1.9505,                 1.3791,              0.0092872,              0.0092872,              0.0092872
                     39,                 1.6329,                 1.9703,                 1.3821,                0.35819,                0.36703,                0.31444,                0.18067,                 1.5774,                 1.9434,                  1.374,              0.0092674,              0.0092674,              0.0092674
                     40,                 1.6291,                 1.9637,                  1.375,                0.40265,                0.35033,                0.32877,                 0.1868,                  1.596,                 1.8681,                 1.3973,              0.0092476,              0.0092476,              0.0092476
                     41,                 1.6254,                 1.9628,                 1.3698,                0.44478,                0.33574,                0.32648,                  0.185,                 1.5751,                 1.9274,                 1.3753,              0.0092278,              0.0092278,              0.0092278
                     42,                 1.6013,                  1.928,                 1.3628,                0.45121,                0.34209,                0.33175,                0.19031,                 1.5833,                 1.9158,                 1.3843,               0.009208,               0.009208,               0.009208
                     43,                 1.6116,                 1.9316,                  1.361,                0.41599,                0.32654,                0.32685,                0.18876,                 1.5781,                 1.8952,                 1.3819,              0.0091882,              0.0091882,              0.0091882
                     44,                 1.5891,                  1.909,                 1.3559,                0.43567,                0.35839,                0.34742,                0.20285,                 1.5556,                 1.8962,                 1.3705,              0.0091684,              0.0091684,              0.0091684
                     45,                 1.5921,                 1.8891,                 1.3503,                0.43406,                0.35235,                0.34672,                 0.2019,                 1.5615,                 1.9092,                 1.3634,              0.0091486,              0.0091486,              0.0091486
                     46,                  1.596,                  1.893,                  1.343,                0.43145,                 0.3697,                0.34438,                0.19833,                 1.5389,                 1.8905,                 1.3443,              0.0091288,              0.0091288,              0.0091288
                     47,                  1.574,                 1.8659,                 1.3472,                0.41641,                0.36872,                0.34191,                0.19784,                 1.5466,                 1.8802,                 1.3627,               0.009109,               0.009109,               0.009109
                     48,                 1.5765,                 1.8621,                 1.3379,                0.41623,                0.38361,                0.34354,                0.19996,                  1.548,                 1.8875,                 1.3609,              0.0090892,              0.0090892,              0.0090892
                     49,                 1.5706,                 1.8374,                 1.3421,                0.41249,                0.38367,                0.35075,                0.20469,                 1.5406,                 1.8376,                  1.358,              0.0090694,              0.0090694,              0.0090694
                     50,                 1.5672,                 1.8502,                 1.3346,                0.42407,                0.36176,                 0.3475,                0.20405,                 1.5427,                 1.8613,                 1.3552,              0.0090496,              0.0090496,              0.0090496
