                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.0891,                 7.2466,                 4.0417,                0.00138,                0.05824,                0.00082,                0.00017,                 3.7558,                 4.3503,                 3.5918,              0.0033289,              0.0033289,              0.0033289
                      2,                 3.4095,                 5.5092,                 3.0277,                0.34795,                0.02746,                0.00709,                0.00211,                 3.0043,                 4.1272,                 2.6371,               0.006649,               0.006649,               0.006649
                      3,                 2.8874,                 4.3711,                 2.4291,                0.42164,                 0.0245,                0.01551,                0.00463,                 2.7002,                  3.616,                  2.309,              0.0099559,              0.0099559,              0.0099559
                      4,                 2.6679,                 3.8558,                 2.1958,                0.39965,                0.04427,                0.01461,                0.00502,                 2.5171,                 3.4754,                 2.1054,              0.0099406,              0.0099406,              0.0099406
                      5,                 2.5178,                  3.593,                  2.061,                0.07761,                0.07347,                0.02454,                0.00862,                 2.4332,                 3.3443,                 2.0328,              0.0099406,              0.0099406,              0.0099406
                      6,                 2.4261,                 3.4448,                 1.9617,                0.34155,                0.05973,                 0.0289,                0.01112,                 2.3305,                 3.2066,                 1.9348,              0.0099208,              0.0099208,              0.0099208
                      7,                 2.3591,                 3.3561,                 1.9046,                0.25446,                0.10992,                0.03349,                0.01341,                 2.2711,                 3.1568,                 1.8531,               0.009901,               0.009901,               0.009901
                      8,                  2.319,                 3.2906,                 1.8588,                0.23898,                0.06978,                0.04246,                0.01746,                 2.2348,                 3.1027,                 1.8485,              0.0098812,              0.0098812,              0.0098812
                      9,                 2.2675,                 3.2193,                  1.824,                0.13098,                0.09947,                0.04509,                0.01896,                 2.2018,                 3.0138,                 1.7883,              0.0098614,              0.0098614,              0.0098614
                     10,                 2.2297,                 3.1539,                 1.8024,                0.16258,                0.11522,                0.05743,                0.02454,                 2.1433,                 2.9526,                 1.7487,              0.0098416,              0.0098416,              0.0098416
                     11,                 2.2111,                 3.1156,                 1.7759,                0.15826,                0.12168,                0.06315,                0.02972,                 2.1291,                 2.9107,                   1.71,              0.0098218,              0.0098218,              0.0098218
                     12,                 2.1888,                 3.0666,                 1.7566,                 0.1888,                0.11541,                0.07918,                0.03642,                 2.1115,                 2.8822,                  1.711,               0.009802,               0.009802,               0.009802
